experimento,modelo,macro_f1,macro_f1_std,weighted_f1,mcc,mcc_std,accuracy,pos_f1,pos_precision,pos_recall,roc_auc,avg_precision,tempo_segundos,tempo_minutos,loss,sampler,macro_f1_str,tempo_str
Flat3_focal,BERTimbau,0.47066825778175125,0.01672863171826319,0.9451183390493119,0.2849550036260773,0.021360684693178013,0.9508329793760912,,,,,,1770.1644918299971,29.502741530499954,focal,False,0.471 ± 0.017,29.5 min
Flat3_focal,mBERT,0.46937173419543365,0.021650683868906725,0.9416546594103966,0.2532047989433977,0.04217937522997506,0.9448800084949738,,,,,,2556.476432413998,42.607940540233294,focal,False,0.469 ± 0.022,42.6 min
Cascade_H,BERTimbau cascade,0.46790040697679514,0.05628837271136681,0.9420463350731827,0.2745285098074962,0.10268372482544649,0.9438942375761009,,,,,,1796.630671895,29.943844531583334,ce_weighted,False,0.468 ± 0.056,29.9 min
Cascade_H_focal_sampler,RoBERTa cascade,0.46328231423135885,0.03322491136742508,0.933351561461415,0.24019077751044743,0.04644940208035837,0.9290229206978463,,,,,,1915.6553287429997,31.927588812383327,focal,True,0.463 ± 0.033,31.9 min
Flat3_focal_sampler,mBERT,0.4597490200409814,0.014068285360972392,0.9310382148274131,0.22063878618175653,0.0307117436270337,0.9260561690814416,,,,,,2239.470669176997,37.32451115294995,focal,True,0.460 ± 0.014,37.3 min
Cascade_H_focal_sampler_group,RoBERTa cascade,0.45538107498082214,0.05566369225019449,0.9315630858033362,0.22954247691619453,0.08428431471447738,0.9262523922291706,,,,,,1903.7201442369987,31.728669070616647,focal,True,0.455 ± 0.056,31.7 min
Flat3_sampler,BERTimbau,0.4540875572364917,0.0234636497702342,0.933928682875105,0.28794721530357875,0.022046008252002196,0.9300208834772759,,,,,,1460.9625348020054,24.349375580033424,ce_weighted,True,0.454 ± 0.023,24.3 min
Flat3_focal_sampler_group,mBERT,0.4485859561687963,0.039985790085307955,0.9354800871120277,0.23705157346493078,0.0560977927365628,0.9335883550481622,,,,,,2243.368624214003,37.38947707023338,focal,True,0.449 ± 0.040,37.4 min
Cascade_H_focal_sampler_group,mBERT cascade,0.4453326838843387,0.02675101465915669,0.9321323756831251,0.24769831661149716,0.046459676604795976,0.9256707057510225,,,,,,2097.923065857998,34.96538443096664,focal,True,0.445 ± 0.027,35.0 min
Flat3_focal_sampler,RoBERTa,0.44192686788249536,0.009900271150439949,0.9355117511040355,0.21010134088839352,0.028152320637573162,0.9367566897918731,,,,,,2040.2102585059984,34.00350430843331,focal,True,0.442 ± 0.010,34.0 min
Flat3_sampler,mBERT,0.4413439529125558,0.04857261855920288,0.9368995239901811,0.20168400428989516,0.08712007354310726,0.9391317428854593,,,,,,2428.662057059999,40.47770095099998,ce_weighted,True,0.441 ± 0.049,40.5 min
Flat3_sampler,RoBERTa,0.43463781732371176,0.017990400481686177,0.9327846349399737,0.19559948591788476,0.018674020514138568,0.9321969339437128,,,,,,2148.4326188279992,35.807210313799985,ce_weighted,True,0.435 ± 0.018,35.8 min
Flat3,TF-IDF+LR,0.4314489748023626,0.028654152127766144,0.9415052775431795,0.1840949775922237,0.03653229497393956,0.9514266443280318,,,,,,13.312812374000032,0.22188020623333388,,,0.431 ± 0.029,13.3 s
Cascade_H,TF-IDF+LR cascade,0.4256323075456587,0.010346121659394384,0.9374003117687311,0.17838884032213667,0.02628127756669215,0.9423073292746237,,,,,,7.279247213999042,0.12132078689998403,,,0.426 ± 0.010,7.3 s
Flat3_focal_sampler_group,RoBERTa,0.4253920640605866,0.02283397657918495,0.9304819586388143,0.18489388155693043,0.055301715782465566,0.9284258847801812,,,,,,1659.4324994910057,27.657208324850096,focal,True,0.425 ± 0.023,27.7 min
Flat3_group,TF-IDF+LR,0.4225169447723151,0.035398627730244395,0.9407578803216872,0.17729843733411427,0.061645989980735935,0.9504345637027246,,,,,,11.766059482994024,0.19610099138323372,,,0.423 ± 0.035,11.8 s
Cascade_H_group,TF-IDF+LR cascade,0.42226594712195753,0.04837689207199811,0.936612980057672,0.17402119659828058,0.08354823381266976,0.9409168469940579,,,,,,6.088260110002011,0.10147100183336685,,,0.422 ± 0.048,6.1 s
Cascade_H,mBERT cascade,0.3976987071606772,0.06335421368016612,0.941345185307218,0.14805940055525504,0.12575946938999696,0.9540056161215723,,,,,,1972.3514204410021,32.872523674016705,ce_weighted,False,0.398 ± 0.063,32.9 min
Flat3,mBERT,0.39404506490127644,0.0620031313708416,0.940883960115867,0.16366679387693073,0.09268630017483054,0.953410967955071,,,,,,2682.5123255710005,44.70853875951668,ce_weighted,False,0.394 ± 0.062,44.7 min
Flat4,BERTimbau,0.3728184577990844,0.02954319620080087,0.9472880014017793,0.32476503886043434,0.0634851280077184,0.9510315887174162,,,,,,2642.4696641230003,44.04116106871667,ce_weighted,False,0.373 ± 0.030,44.0 min
Flat3_focal,RoBERTa,0.34848967329608904,0.04448630966753657,0.9377733095437844,0.03741296554102337,0.07482593108204674,0.9551949124545753,,,,,,1276.6776705190023,21.277961175316705,focal,False,0.348 ± 0.044,21.3 min
Cascade_H,RoBERTa cascade,0.335014415395134,0.01762209879271608,0.9374631220917417,0.0290785084275737,0.05815701685514741,0.9557895606210769,,,,,,1355.7453101440005,22.595755169066674,ce_weighted,False,0.335 ± 0.018,22.6 min
Flat3,RoBERTa,0.32621240467802337,6.828427529401726e-05,0.9376990925400956,0.0,0.0,0.9581681532870828,,,,,,1113.0166066029997,18.55027677671666,ce_weighted,False,0.326 ± 0.000,18.6 min
Flat4,TF-IDF+LR,0.31162234339898476,0.02361197656133933,0.9392653824041239,0.16054202921375657,0.0646218878096316,0.9488482624632277,,,,,,16.783406426000056,0.27972344043333425,,,0.312 ± 0.024,16.8 s
Flat4,mBERT,0.29748721316988647,0.04969257463274545,0.9394046216997735,0.13520982019223843,0.1210557660210266,0.950635943178064,,,,,,2364.056006817,39.40093344695,ce_weighted,False,0.297 ± 0.050,39.4 min
Flat4,RoBERTa,0.24465930350851753,5.121320647051411e-05,0.9376990925400956,0.0,0.0,0.9581681532870828,,,,,,1113.0850364979997,18.55141727496666,ce_weighted,False,0.245 ± 0.000,18.6 min
